uuid,nome,cliente,regiao,status
5e51f505-8d44-4c37-8453-6fe4f08f8bd1,CONDOMÍNIO GREENFIELD,Condominio Greenfield Residential,INTERIOR,ativo
5006b07c-4148-4467-8900-7cc8f427e6e1,CONDOMÍNIO IMAGE,CONDOMÍNIO IMAGE,ZONA LESTE,ativo
0307bd5f-0331-4700-acbb-87fcce23cbb7,CONDOMÍNIO INHAMBU,CONDOMÍNIO INHAMBU,SUL,ativo
7fdafdce-98b6-49bf-a0ff-53ed39d44db0,CONDOMÍNIO KING ARTHUR,COND . ED KING ARTHUR,POSTOS DA GAP,inativo
de0d0141-aeb8-ae3e-81d8-a380081a6662,CONDOMÍNIO MAISON CHARTREZ,MAISON CHARTRES,ZONA SUL,ativo
5efbe9f1-fc23-424c-a799-c9baa8966f55,CONDOMÍNIO MANSÃO RIMINI,CONDOMÍNIO E EDIFÍCIO MANSÃO RIMINI,ZONA SUL,inativo
84e52801-ad69-4c8d-89a2-8a7074991e6d,CONDOMÍNIO MARC CHAGALL,Condomínio Marc Chagall,ZONA SUL,ativo
98c51d84-c3c4-463f-8d3e-f89c9930bb5e,CONDOMÍNIO MONT VERT,Condomínio Mont Vert,POSTOS DA GAP,inativo
8b74db62-8a32-48e1-b98f-869817d139e1,CONDOMÍNIO MONTPELLIR,Condomínio Montpellier,ZONA SUL,ativo
b3830a52-70c3-46cf-b600-9f16120dcae0,CONDOMÍNIO MORADA DO ALTO,MORADA DO ALTO,ZONA OESTE,ativo
52d7a73b-3f24-4ef0-bf90-88658648399a,CONDOMÍNIO PARQUE DO PRÍNCIPE,CONDOMÍNIO PARQUE DO PRÍNCIPE,ZONA OESTE,ativo
8f0ff317-d3b2-03c1-4f1e-6cfb9c711b4e,CONDOMÍNIO REAL PANORAMA,Real Panorama,ZONA SUL,ativo
f367d78a-b9e1-49b5-add8-6786580fd3f5,CONDOMÍNIO RESERVA MUNDI,CONDOMÍNIO RESERVA MUNDI,ZONA LESTE,ativo
12e585f5-b8ea-4b5c-adc6-a2b3efa4a48e,CONDOMÍNIO SANTA ANGELA,Condomínio Santa Angela,ZONA SUL,ativo
9b39e4a9-534b-4bb6-a492-9490302cdb06,CONDOMÍNIO SPLENDOR,Condomínio Splendor,ZONA SUL,ativo
b5532325-c7f2-4b7f-82eb-6b3329c17a2a,CONDOMÍNIO STORIES IN PACAEMBU,Condomínio Stories In Pacaembu,ZONA LESTE,ativo
880d5ed6-7ce9-4e8a-9ecd-e84d79092df0,CONDOMÍNIO TRIOMPHE,CONDOMÍNIO TRIOMPHE,ZONA SUL,ativo
f2caf71e-f936-4b58-bacb-369fbc905c20,CONDOMÍNIO VICTORIA PLAZA,CONDOMÍNIO VICTORIA PLAZA,ZONA SUL,ativo
36a41d06-c7d0-43de-8014-cd2ebb1fde8d,CONDOMÍNIO VIVAZ PRIME - RIO BONITO,Vivaz Rio Bonito,ZONA SUL,ativo
ed3eff32-769a-bece-7676-c9a4638006e7,Clube De Campo - Mairiporã 2,Clube de Campo 2,MAIRIPORÃ,inativo
0ec11f8d-c0e6-394f-8414-274605577174,Clube De Campo - Mairiporã 3,Clube de Campo 3,MAIRIPORÃ,inativo
fc9974b6-b772-f758-ad8a-c267c50220cd,Colina - Mairiporã,Colina,REGIÃO PADRÃO,inativo
504c909d-a3b5-2d34-532c-6fe997291713,Colina - Mairiporã.,Colina 3,REGIÃO PADRÃO,inativo
5536da5b-86bb-e012-f547-098acbaf9d6c,Colina - Mairiporã..,Colina 2,REGIÃO PADRÃO,inativo
16cee518-db59-a5c6-49e9-d2f96a18b3f6,Colinas,Colinas,MAIRIPORÃ,inativo
22f4fb46-a5f5-49de-a8de-fab5371cc0e4,Cond. Mansão do Butantã,Cond. Mansão do Butantã,POSTOS DA GAP,inativo
382ddcff-21d9-b05e-30f1-61f6cfdebc13,Cond. Varsóvia - Franco da Rocha,Cond. Varsóvia,REGIÃO PADRÃO,inativo
d5f53312-45d0-4afb-a0e7-41ba0254308b,Condominio Cascais,Condominio Cascais,POSTOS DA GAP,inativo
289a949b-bc97-492e-b10c-e62b16d9829f,Condominio Columbia residence,Condominio Columbia Residence,POSTOS DA GAP,inativo
3ad19465-81d2-462d-905c-39d3b47694c6,Condominio Dória,Condominio Dória,POSTOS DA GAP,inativo
6cac5ad6-2951-479e-b4bf-8c9c6f9764a5,Condominio La Fontaine,La Fontaine,POSTOS DA GAP,inativo
ede8c53f-f612-4c13-8b05-953d32e6a42c,Condominio La Fontaine.,La Fontaine,POSTOS DA GAP,inativo
5f713d1a-7957-453d-9c39-b0441d3725be,Condomínio Cascais,Cond Ed Cascais,POSTOS DA GAP,inativo
0d37d9c4-75fc-4d69-8001-702a1da79817,Condomínio Dória Phampilli,Codomínio Doria Phampilli,POSTOS DA GAP,inativo
089780cb-5b81-43c9-8d7a-f5a542d3aad1,Condomínio Edifício Albar,Condomínio Edifício Albar,POSTOS DA GAP,inativo
94ed0582-dc2c-4a36-86ca-81d15befcad3,Condomínio Genebra,Condomínio Genebra,POSTOS DA GAP,inativo
